Episode 1/10000, Total Reward: 48, Epsilon: 0.9999
Episode 2/10000, Total Reward: 80, Epsilon: 0.9998000100000001
Episode 3/10000, Total Reward: -10, Epsilon: 0.9997000299990001
Episode 4/10000, Total Reward: 16, Epsilon: 0.9996000599960002
Episode 5/10000, Total Reward: -42, Epsilon: 0.9995000999900007
Episode 6/10000, Total Reward: 22, Epsilon: 0.9994001499800017
Episode 7/10000, Total Reward: 80, Epsilon: 0.9993002099650037
Episode 8/10000, Total Reward: -42, Epsilon: 0.9992002799440072
Episode 9/10000, Total Reward: 16, Epsilon: 0.9991003599160128
Episode 10/10000, Total Reward: -10, Epsilon: 0.9990004498800211
Episode 11/10000, Total Reward: 48, Epsilon: 0.9989005498350332
Episode 12/10000, Total Reward: -42, Epsilon: 0.9988006597800497
Episode 13/10000, Total Reward: -42, Epsilon: 0.9987007797140718
Episode 14/10000, Total Reward: 48, Epsilon: 0.9986009096361004
Episode 15/10000, Total Reward: -74, Epsilon: 0.9985010495451367
Episode 16/10000, Total Reward: -10, Epsilon: 0.9984011994401822
Episode 17/10000, Total Reward: 22, Epsilon: 0.9983013593202382
Episode 18/10000, Total Reward: 16, Epsilon: 0.9982015291843062
Episode 19/10000, Total Reward: 48, Epsilon: 0.9981017090313877
Episode 20/10000, Total Reward: 16, Epsilon: 0.9980018988604846
Episode 21/10000, Total Reward: 16, Epsilon: 0.9979020986705985
Episode 22/10000, Total Reward: -10, Epsilon: 0.9978023084607315
Episode 23/10000, Total Reward: -74, Epsilon: 0.9977025282298854
Episode 24/10000, Total Reward: -74, Epsilon: 0.9976027579770624
Episode 25/10000, Total Reward: -10, Epsilon: 0.9975029977012647
Episode 26/10000, Total Reward: 16, Epsilon: 0.9974032474014946
Episode 27/10000, Total Reward: -42, Epsilon: 0.9973035070767544
Episode 28/10000, Total Reward: -74, Epsilon: 0.9972037767260468
Episode 29/10000, Total Reward: -42, Epsilon: 0.9971040563483742
Episode 30/10000, Total Reward: -74, Epsilon: 0.9970043459427393
Episode 31/10000, Total Reward: 16, Epsilon: 0.9969046455081451
Episode 32/10000, Total Reward: 16, Epsilon: 0.9968049550435942
Episode 33/10000, Total Reward: -74, Epsilon: 0.9967052745480899
Episode 34/10000, Total Reward: 16, Epsilon: 0.9966056040206351
Episode 35/10000, Total Reward: 80, Epsilon: 0.9965059434602331
Episode 36/10000, Total Reward: -74, Epsilon: 0.9964062928658871
Episode 37/10000, Total Reward: 16, Epsilon: 0.9963066522366005
Episode 38/10000, Total Reward: 16, Epsilon: 0.9962070215713769
Episode 39/10000, Total Reward: -74, Epsilon: 0.9961074008692198
Episode 40/10000, Total Reward: -74, Epsilon: 0.9960077901291329
Episode 41/10000, Total Reward: 48, Epsilon: 0.9959081893501199
Episode 42/10000, Total Reward: -42, Epsilon: 0.995808598531185
Episode 43/10000, Total Reward: -42, Epsilon: 0.9957090176713319
Episode 44/10000, Total Reward: -10, Epsilon: 0.9956094467695648
Episode 45/10000, Total Reward: -10, Epsilon: 0.9955098858248879
Episode 46/10000, Total Reward: -74, Epsilon: 0.9954103348363054
Episode 47/10000, Total Reward: -10, Epsilon: 0.9953107938028217
Episode 48/10000, Total Reward: -10, Epsilon: 0.9952112627234414
Episode 49/10000, Total Reward: -42, Epsilon: 0.9951117415971691
Episode 50/10000, Total Reward: -74, Epsilon: 0.9950122304230093
